



Room Number: ICT LAB
Monday,(Human Computer Interaction#Mrs. Anupama Gunathilaka#3rd year 2nd semester),(Professional Practice and Ethics#Mr. Chandana#3rd year 1st semester),(Multimedia & Web Technology#Mr. Amarakoon#1st year 2nd semester),BREAK,(Multimedia & Web Technology#Mr. Amarakoon#1st year 2nd semester),(Principles of Programming#Mr. P.S.Palliyaguruge#1st year 1st semester),(Graphics & Image Processing#Mr. Hemantha Kulathilaka#1st year 2nd semester),
Tuesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Wednesday,(Basic Electronic & Design Logic#Mr. N.S.Weerakoon#1st year 1st semester),(Multimedia & Web Technology#Mr. Amarakoon#1st year 2nd semester),(Basic Electronic & Design Logic#Mr. N.S.Weerakoon#1st year 1st semester),BREAK,(Design & Analysis of Algorithm#Mr. P.S.Palliyaguruge#1st year 2nd semester),(Operational Research#Mrs. Chamila Priyangika#3rd year 2nd semester),(Principles of Programming#Mr. P.S.Palliyaguruge#1st year 1st semester),
Thursday,(Intelligent Systems#Mrs. Dinusha#3rd year 2nd semester),(Intelligent Systems#Mrs. Dinusha#3rd year 2nd semester),(Information System Security#Mr. Ajith Nilwakke#3rd year 1st semester),BREAK,(Software Engineering#Mr. Akalanka Hettige#1st year 2nd semester),(Operational Research#Mrs. Chamila Priyangika#3rd year 2nd semester),(Software Engineering#Mr. Akalanka Hettige#1st year 2nd semester),
Friday,(Graphics & Image Processing#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Marketing#Mr. Udurawana#3rd year 1st semester),(Marketing#Mr. Udurawana#3rd year 1st semester),BREAK,(Software Engineering#Mr. Akalanka Hettige#1st year 2nd semester),(Graphics & Image Processing#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Human Computer Interaction#Mrs. Anupama Gunathilaka#3rd year 2nd semester),
	



Room Number: L10
,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Monday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Tuesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Wednesday,(Professional Practice and Ethics#Mr. Chandana#3rd year 1st semester),(Marketing#Mr. Udurawana#3rd year 1st semester),(Embedded Systems#Mr. Thilina Yapa#3rd year 2nd semester),BREAK,(Embedded Systems#Mr. Thilina Yapa#3rd year 2nd semester),(Design & Analysis of Algorithm#Mr. P.S.Palliyaguruge#1st year 2nd semester),(Information System Security#Mr. Ajith Nilwakke#3rd year 1st semester),
Thursday,(Principle of Accounting#Mr. Prageeth#3rd year 1st semester),(Human Computer Interaction#Mrs. Anupama Gunathilaka#3rd year 2nd semester),FREE LECTURE,BREAK,FREE LECTURE,(Principle of Accounting#Mr. Prageeth#3rd year 1st semester),(Project Management#Ms. Tharushika#3rd year 1st semester),
Friday,(Design & Analysis of Algorithm#Mr. P.S.Palliyaguruge#1st year 2nd semester),(Basic Electronic & Design Logic#Mr. N.S.Weerakoon#1st year 1st semester),(Principles of Programming#Mr. P.S.Palliyaguruge#1st year 1st semester),BREAK,(Project Management#Ms. Tharushika#3rd year 1st semester),(Embedded Systems#Mr. Thilina Yapa#3rd year 2nd semester),(Information System Security#Mr. Ajith Nilwakke#3rd year 1st semester),
	
